"","SD_tide"
"HAT",1.46851915965671
"MHWS",1.15798357238026
"MHWN",0.374444635844775
"MSL",-0.371027685139226
"MLWN",-1.11650000612323
"MLWS",-1.90003894265871
"LAT",1.46851915965671
